id,number,area,floors,rooms,street,service_life,type
8966213,45,50.130,29,5,01409 Farwell Road,50,Masonry & Precast
49731757,81,146.180,8,7,70169 Bluestem Hill,56,Roofing (Asphalt)
78949457,29,268.580,27,8,1 Truax Road,62,Electrical
63576729,132,341.530,9,,261 Heffernan Street,59,Structural & Misc Steel Erection
82172345,273,383.390,9,,6 Hayes Terrace,83,Marlite Panels (FED)
84387421,82,327.930,10,4,756 Kenwood Lane,89,Construction Clean and Final Clean
43595648,14,303.360,26,6,20 Maple Pass,74,Masonry & Precast
51355992,159,222.740,5,5,564 Hermina Plaza,85,Electrical and Fire Alarm
19372851,295,73.330,12,,92 Springs Parkway,60,"Doors, Frames & Hardware"
40774359,56,143.160,10,7,33887 Nancy Hill,97,Soft Flooring and Base
77512735,118,40.690,1,7,98215 Sachs Street,97,Drywall & Acoustical (MOB)
93312693,27,16.080,16,3,30 East Crossing,65,Epoxy Flooring
96700998,206,72.680,14,6,78 Hollow Ridge Crossing,60,Landscaping & Irrigation
46563703,219,368.420,26,6,50 Wayridge Avenue,78,EIFS
855932,23,61.900,9,6,4311 East Lane,51,Glass & Glazing
18143539,142,365.830,8,,67 Cardinal Crossing,59,Soft Flooring and Base
52972755,33,362.950,26,8,800 Harper Plaza,63,Exterior Signage
23629609,26,344.460,12,,39 Esch Drive,78,HVAC
82420032,44,70.860,2,6,697 Fremont Plaza,99,Electrical
80332079,272,216.810,24,2,4 Aberg Road,55,Prefabricated Aluminum Metal Canopies
69025744,132,388.810,24,7,51527 Artisan Point,62,Casework
34769360,62,160.970,13,,5832 Oakridge Avenue,56,Glass & Glazing
95236618,68,60.330,8,10,8376 Carioca Circle,68,Fire Protection
96064832,285,312.050,9,,0161 Fieldstone Point,93,Rebar & Wire Mesh Install
63024166,154,171.040,6,2,84 Monica Pass,68,Structural and Misc Steel (Fabrication)
24078287,32,327.650,11,10,28643 Homewood Street,67,Fire Protection
59863525,170,168.580,17,5,5 Briar Crest Avenue,58,Fire Sprinkler System
40510809,272,167.770,6,6,2 Mendota Terrace,71,Masonry & Precast
5161742,101,73.680,25,5,1 Truax Park,92,EIFS
22584595,235,67.030,27,1,2 Anderson Terrace,62,RF Shielding
64481660,279,476.720,10,,5 Manitowish Alley,72,HVAC
39124462,189,163.520,1,2,4 Drewry Road,90,Soft Flooring and Base
59081259,81,28.550,2,4,1 Forest Dale Park,70,Exterior Signage
34304532,157,474.520,2,4,3916 Sunfield Pass,96,Roofing (Asphalt)
78789843,37,102.080,25,4,99117 Londonderry Street,66,Overhead Doors
25408959,228,318.070,22,,779 Sutteridge Circle,72,HVAC
69640896,146,224.330,4,1,23892 Eagle Crest Crossing,73,Drilled Shafts
90728508,169,195.800,2,,06198 Roth Road,99,Overhead Doors
32029427,244,377.200,1,7,3916 Scofield Way,79,Casework
11075767,124,478.300,29,3,5 Darwin Trail,57,RF Shielding
35115592,137,381.920,16,9,25 Fordem Junction,98,Elevator
40404968,158,421.560,19,3,830 Sycamore Place,82,Masonry
30871282,97,427.520,5,,0 Morning Circle,74,RF Shielding
66125168,251,477.080,12,3,374 Randy Crossing,93,EIFS
5134059,256,29.610,21,2,8 Paget Way,96,Casework
79132956,245,74.980,21,7,68404 Trailsway Court,89,Landscaping & Irrigation
41579528,21,74.690,11,,41640 Iowa Lane,54,Framing (Wood)
21054950,299,277.940,13,,0 Kenwood Court,83,Masonry
76892961,93,436.160,14,,007 Nancy Avenue,87,Electrical and Fire Alarm
